DONNÉES;data2

Wed 13 Jan 2021

ARTICLES INVENTORIÉS
CODE;DÉSIGNATION;MIN;STOCK;PA;;PV

BIÈRE
jbC;jb conso;V;3000;jb;0,08
jusCarafe;carafe de jus;V;2500;jus1L;0,5
jusV;1 verre de jus;V;1500;jus1L;0,25
martiniBC;conso martini blanc;V;2000;martiniB;0,06
martiniRC;1 conso martini rouge;V;2000;martiniR;0,06
orangeSecC;conso orange Sec;V;3000;orangeSec;0,07
pachucaC;1 conso de Pachuca;V;2500;pachuca;0,07
redLabC;1 conso de red label;V;3000;redLab75;0,08
ricardC;1 conso de ricard;V;2000;ricard;0,06
sGinger1V;verre de sirop ginger;V;1000;sGinger1L;0,1
sanjoseSC;conso de sanjose;V;2000;sanjoseS;0,07
siropC;1 conso de sirop ;V;1000;sirop1L;0,05
stJamesBC;conso st james Blanc;V;2500;stJamesB;0,06
stJamesRC;conso saint James;V;2500;stJamesR;0,06
stoliC;conso stoli;V;2000;stoli;0,07
suzeC;conso de suze;V;2500;suze;0,06
tripleSecC;conso de triple sec;V;2500;tripleSec;0,07
verreMoussCC;1/14 vin mousseux;V;2500;cremAlsM;0,07
vinR1V;un verre de vin rouge;V;5000;chretMerl;0,25
willC;conso bout de william;V;2500;will;0,07

CUISINE
agneauSauce;agneau sauce arachide;V;0;agneauOs;1
agneauSauté;agneau sauté;V;0;agneauOs;1
alloco;1 portion de alloco;V;1000;oeuf;0
assokui;sauce légume;V;4000;agneauOs;0,5;poissonFume;1;wangache;1
beignetCrevet;Beignets de crevettes;V;4000;crevette;1;farineBle;1;oeuf;1
broBoeuf;une brochette de boeuf;V;4000;filetBoeuf;0,5
broMerguez;brochette de merguez;V;2000;merguez;1
broMixte;mini brochette mixte;V;2000;filetBoeuf;0,5;blancPoulet;0,5;merguez;0,5
broPoisson;1 portion darne de poisson;V;4000;poisson;1
broPoulet;1 brochette de poulet;V;1500;blancPoulet;0,5
chawPoulet;chawarma poulet;V;2000;painChaw;1;blancPoulet;0,5;frite;0,5
chawTGV;chawarma tgv;V;2500;painChaw;1;filetBoeuf;0,5;fromage;1
chawViande;chawarma de viande;V;2000;painChaw;1;filetBoeuf;0,5;frite;0,5
cheeseBurger;cheese burger;V;2500;painHamb;1;fromage;1;viandeH;1
chickenBurg;chicken burger;V;3000;painHamb;1;blancPoulet;1;fromage;2
choucMouton;choucouya de mouton;V;2500;agneau;1
choucPoule;choucouyta de poulet;V;2500;blancPoulet;1
choucPoulet;choucouya de poulet;V;2500;blancPoulet;1
crepe;un plat de crepe;V;1000;oeuf;1
cuissPoulet;cuisse de poulet;V;4000;pouletCuisse;1
doubleHamb;double hamburger;V;4000;painHamb;1;viandeH;2;fromage;2
duoBroBoeuf;duo brochette boeuf;V;3000;filetBoeuf;1
duoBroMerguez;duo brochette merguez;V;3000;merguez;2
duoBroPoulet;duo brochette au poulet;V;3000;blancPoulet;1
eggCheese;egg cheese burger;V;3500;painHamb;1;oeuf;1;viandeH;1
eminceBoeufSc;emince boeuf sauce creme;V;5000;filetBoeuf;1
emincePoul;emincé de poulet;V;4000;blancPoulet;1
emincePoule;emincé de poulet;V;4000;blancPoulet;1
escalopePouletS;escalope de poulet à la sauce crême;V;4000;poulet;1
escalopepoulet;escalope de poulet;V;4000;blancPoulet;1
filetBoeufSauP;filet de boeuf à la sauce piquante;V;4000;filetBoeuf;1
filetPoissonSc;filet poisson sauce creme;V;5000;poisson;1
filetPoissons;plat filet de poisson;V;4000;poisson;1
gbekuin;légume;V;4000;poissonFume;1;agneauOs;0,5;wangache;1
hamburger;hamburger;V;2000;painHamb;1;viandeH;1;frite;0,5
legumeSaut;1 portion de légume sauté;V;1000;oeuf;0
miniBroBoeuf;1 plat de 4 mini broch de boeuf;V;0;filetBoeuf;0,5
miniBroMergez;mini brochette mergez;V;2000;merguez;1
nemBoeuf;1 portion de 4 nems de boeuf;V;2000;viandeNem;1
nemPoulet;nems de poulet;V;2000;blancPoulet;1
omelFromage;omelette au fromage;V;2500;oeuf;2;fromage;2
omelNature;omelette nature;V;1500;oeuf;2
patNoire;1 portion de patte noire;V;1000;farinePatNoire;1
patRouges;patte rouge;V;1000;farineRouge;0,25
pateBlanche;portion de pate blanche;V;1000;farinePateBlanc;1
pateRougeB;pate rouge;V;1000;farinePateBlanc;1
petitPois1;plat petit pois;V;1000;petitPois;0,67;painSandw;0,5
petitPoisPlat;plat de petit pois;V;2000;petitPois;1;filetBoeuf;1
pommeSaute;portion de pomme;V;1000;pommeKG;0,5
pouletBraise;poulet braisé;V;2500;poulet;1
purePomme;purée de pomme;V;1000;pommeKG;0,5
rizCanto;riz cantonais;V;1000;riz;1;oeuf;3
rizCantonais;riz cantonai;V;10000;riz;1;oeuf;2
saladeAvoCrevet;salade avocat au crevette;V;4000;crevette;1;painSandw;0,5
saladeAvoPoulet;salade avocat au poulet;V;3000;blancPoulet;1;painSandw;0,5
saladeCompo;salade compose;V;6000;crevette;1;blancPoulet;0,5;oeuf;1
saladeCrudite;salade de crudité;V;2500;oeuf;0
saladeMixte;salade mixte;V;3000;oeuf;1;thon;0,5;painSandw;0,5
saladePoulet;salade au poulet;V;3000;thon;0,5;blancPoulet;0,5;painSandw;0,5
saladePouletBi;salade au poulet bicyclette;V;4500;pouletBi;0,5;thon;0,5;painSandw;0,5
saladeTGV;salade tgv;V;3000;mais300G;0,5;blancPoulet;0,5;painSandw;0,5
sandwPoulet;sandwich de poulet;V;2000;painSandw;1;blancPoulet;0,5
sandwSteak;sandwich steak;V;2500;filetBoeuf;0,5;painSandw;1;mais300G;1
sandwViande;sandwich avec viande de boeuf;V;2000;filetBoeuf;1;painSandw;1
sandwich;sandwich;V;2000;painSandw;1;filetBoeuf;0,5
sandwichTGV;sandwich TGV;V;2500;painSandw;1;filetBoeuf;0,5;fromage;2
sauceArachide;sauce arachide;V;5000;wangache;1;agneauOs;0,5;poissonFume;1
sauceCreme;sauceCreme;V;4000;blancPoulet;1
sauceCrinCrin;sauce crincrin;V;5000;agbama;1;poissonFume;1;crabe;1
