ARTICLES;data6

Sat 12 Jun 2021

CODE;DÉSIGNATION;STOCK_MIN;STOCK;EN VENTE;PA;PV

BIÈRE
mazSauv;bout roche mazet sauv rouge;0;0;V;0;0
monsBord;bout monsieur bordeaux rouge;0;0;V;0;0
monsBordSup;monsieur de bordeau superieur;0;1;V;6675;25000
moutCadNor;bout mouton cadet normal rouge;0;0;V;0;20000
moutCadRes;bout mouton cadet reserve;0;3;V;10917;0
noirMerl;bout le grd noir merlot rouge;0;1;V;6500;25000
oustric;bout domaine oustric rouge;0;1;V;5000;0
picnicR;vin rouge picnic;0;0;V;0;12000
puissantEleg;puissant et elegant cabSauv;0;2;V;3183;15000
rempVirou;remparts du virou;0;0;V;0;25000
rocheMazR;bout roche mazet rouge;0;5;V;2972;15000
sagesse;bout sagesse rouge;0;0;V;0;30000
seigneurieEnclo;seigneurie de l'enclos 2015;0;1;V;5917;20000
taraniR;bout tarani rouge;0;13;V;3610;15000
vinB1V;un verre de vin blanc;0;compo;V;831;0
vinRouge1V;une coupe de chret rouge;0;compo;V;914;5000

WHISKY
aber;bout aberlour ;0;3;V;22000;0
ben;bout benriach;0;0;V;0;0
blackLab;bout black label 70 cl ;0;2.96;V;14950;40000
blackLab1;bout black label 1L;0;0;V;0;55000
cardhu;bout cardhu;0;1;V;21120;60000
chivas12;bout chivas 12 ans 70cl;0;19.92;V;13123;40000
chivas12-1;bout chivas 12 ans 1L;0;0.22;V;17389;45000
chivas18;bout chivas 18 ans 70cl;0;0;V;0;45000
chivas18-1;bout chivas 18 ans 1L;0;3;V;43000;70000
chivasEx;bout chivas extra 70cl;0;3;V;27000;0
dimple;bouteille dimple;0;0;V;0;60000
dimpleC;conso a-r Dimple;;compo;V;0;6000
doubleB1;bout double black 1L;0;0;V;0;0
doubleBlack;bout double black 70cl;0;2;V;29700;80000
glenB12;bout glenf. blanc 12 ans 70cl;0;12.76;V;18721;60000
glenB12L;glenfiddich 12 ans un litre;0;3;V;35000;80000
glenRo15;bout glenf. rosé 15 ans 70cl;0;1;V;18000;0
glenRo18;bout glenf. rosé 18 ans 70cl;0;4;V;32942;80000
glenlivet;bout glenlivet 70cl;0;3;V;50000;0
goldBar;bout gold bar 70cl;0;0;V;0;80000
